site,year,salinity,depth (ft)
345,2013,23.27,0.14453
347,2013,20.88,-0.033641
354,2013,7.49,-0.099438
355,2013,22.02,-0.64449
369,2013,11.26,-0.29677
374,2013,25.13,-0.042678
376,2013,25.03,0.35127
377,2013,15.92,-0.26565
383,2013,19.26,0.091764
386,2013,15.69,-0.053362
387,2013,15.7,-0.051
390,2013,9.61,0.048905
392,2013,9.17,0.20378
397,2013,18.17,0.054092
398,2013,6.47,-0.76788
399,2013,9.23,-0.27506
400,2013,10.14,0.069159
416,2013,NaN,0.050996
421,2013,25.98,0.16622
434,2013,16.84,-0.27239
461,2013,0.16,0.24748
479,2013,0.15,0.2011
482,2013,0.21,0.068387
488,2013,0.24,-0.16247
489,2013,3.75,-0.6863
498,2013,13.25,0.15717
499,2013,10.57,-0.11947
501,2013,3.78,0.11027
504,2013,8.56,0.32849
507,2013,5.24,0.14777
508,2013,5.53,0.1498
513,2013,0.24,0.90553
517,2013,4.86,-0.97384
520,2013,12.14,-0.58743
523,2013,14.35,-0.63896
531,2013,2.33,-0.73999
532,2013,5.74,-1.1453
535,2013,8.71,-0.4943
541,2013,17.26,-0.95195
542,2013,0.36,NaN
543,2013,0.29,-0.96874
545,2013,1.39,-0.38864
547,2013,2.65,-0.15409
550,2013,0.4,-0.70341
551,2013,0.21,-0.66178
553,2013,0.67,0.63035
554,2013,0.63,0.43375
556,2013,0.36,0.94243
560,2013,0.67,1.2379
562,2013,1.31,0.62223
565,2013,0.79,0.6613
567,2013,0.35,0.32524
570,2013,1.01,1.4151
571,2013,1.7,0.34919
572,2013,0.92,0.60201
574,2013,0.7,0.57919
576,2013,4.79,0.26596
580,2013,5.22,-0.025766
581,2013,23.05,0.28792
583,2013,1.14,0.095333
587,2013,0.72,0.4617
590,2013,0.29,0.89026
595,2013,0.61,0.56258
603,2013,2.83,0.517
604,2013,1.1,0.7575
605,2013,0.59,0.41224
608,2013,2.06,0.34212
609,2013,6.8,0.082791
614,2013,13.28,-0.23487
616,2013,2.07,0.2721
618,2013,0.98,-0.11314
619,2013,1.91,0.41529
623,2013,5.11,0.017814
624,2013,0.51,0.37164
626,2013,1.56,0.29645
633,2013,6.3,0.072073
638,2013,6.87,0.054756
641,2013,8.69,-0.02374
645,2013,5.4,0.2586
651,2013,8.9,-0.016538
655,2013,15.02,0.15789
658,2013,13.34,0.070289
660,2013,7.84,-0.3237
661,2013,5.81,0.32744
662,2013,7.42,-0.2296
663,2013,8.31,0.0095587
665,2013,4.35,0.32832
669,2013,8.52,-0.027413
672,2013,15.85,0.13301
677,2013,3.78,0.13318
682,2013,3.52,0.001792
683,2013,NaN,-0.096086
684,2013,14.74,0.029136
685,2013,NaN,-0.20386
687,2013,23.38,-0.27685
697,2013,4.87,-0.15868
978,2013,21.19,0.30783
1024,2013,14.68,-0.18775
1069,2013,24.72,-0.43677
1100,2013,1.73,0.065312
1130,2013,1.62,0.59083
1205,2013,6.59,-0.03778
1277,2013,0.45,0.54633
1409,2013,0.78,0.32227
1446,2013,0.42,0.46158
1650,2013,4.55,-0.57513
1738,2013,6.58,0.17658
1743,2013,10.15,-0.033441
